ID,Description
56,"FX trade: ISIN XS0971721963, acc: 185965, amount $82,183, 12-06-2025"
57,"Settlement of ISIN XS0971721963 for CHF35,179 on acct 314181 at 18.06.2025"
58,"ISIN GB0002634946; 09.06.2025; acc 237235; AUD 52,876 trade"
59,"Trade alert: ISIN CH0012032048, acct# 176066, CHF99,548, date: 2025-06-17"
60,"Executed buy order: acc 663750, ISIN XS0971721963, €10,602, date 14/06/2025"
61,"Settlement of ISIN FR0000120271 for £46,745 on acct 172132 at 15/06/2025"
62,"ISIN FR0000120271; 2025.06.10; acc 974244; £ 58,433 trade"
63,"ISIN XS0971721963; 2025.06.13; acc 956795; $ 88,538 trade"
64,"Bought securities (ISIN: SE0000108656), amt €18,601, Account# 377312, date 2025-06-09"
65,"Account 395442 traded ISIN NL0000235190 worth £36,697 on 2025.06.15"
66,"ISIN NL0000235190; 12.06.2025; acc 820892; CHF 27,685 trade"
67,"Bought securities (ISIN: INE002A01018), amt CAD33,914, Account# 987204, date 2025-06-16"
68,"Settlement of ISIN US0378331005 for ₹37,265 on acct 146228 at 2025-06-16"
69,"Trade alert: ISIN FI0009000681, acct# 374680, £84,507, date: 13/06/2025"
70,"Bought securities (ISIN: INE002A01018), amt ₹74,519, Account# 110139, date 2025-06-16"
71,"FX trade: ISIN SE0000108656, acc: 137778, amount £72,511, 2025/06/11"
72,"ISIN INE002A01018; 2025-06-17; acc 233636; £ 57,333 trade"
73,"Account 320281 traded ISIN CA135087P962 worth $47,898 on 09.06.2025"
74,"Traded: ISIN US0378331005, amount € 47,357, Date 2025.06.09, Account 918011"
75,"Traded: ISIN XS0971721963, amount £ 32,029, Date 17/06/2025, Account 270395"
76,"Account 448321 traded ISIN US4592001014 worth £97,542 on 11-06-2025"
77,"Executed trade for ISIN FR0000120271 on 18-06-2025 from acct 213346, total amount: £92,917"
78,"Settlement of ISIN IT0000062072 for CAD30,154 on acct 309267 at 12-06-2025"
79,"Account 124813 traded ISIN FR0000120271 worth ¥30,219 on 09.06.2025"
80,"Settlement of ISIN AU000000CBA7 for CHF37,517 on acct 172792 at 2025/06/11"
81,"Settlement of ISIN US0378331005 for ₹90,065 on acct 984642 at 2025.06.10"
82,"ISIN US4592001014; 2025.06.13; acc 287241; € 35,237 trade"
83,"Settlement of ISIN US4592001014 for €79,193 on acct 555673 at 2025/06/12"
84,"ISIN AU000000CBA7; 14/06/2025; acc 704596; € 51,488 trade"
85,"Account 645175 traded ISIN US4592001014 worth ₹1,221 on 2025.06.16"
86,"FX trade: ISIN CA135087P962, acc: 796503, amount ₹10,171, 2025/06/13"
87,"ISIN CA135087P962; 2025.06.10; acc 414910; € 95,339 trade"
88,"ISIN US0378331005; 13.06.2025; acc 521947; ₹ 43,753 trade"
89,"Traded: ISIN INE002A01018, amount £ 26,144, Date 13.06.2025, Account 540869"
90,"Traded: ISIN US0378331005, amount £ 81,676, Date 2025/06/11, Account 696750"
91,"Traded: ISIN INE002A01018, amount $ 40,829, Date 17/06/2025, Account 400850"
92,"Account 563246 traded ISIN FI0009000681 worth CHF61,946 on 12-06-2025"
93,"Bought securities (ISIN: INE002A01018), amt CAD97,463, Account# 277934, date 17.06.2025"
94,"ISIN FR0000120271; 17/06/2025; acc 958179; CHF 13,240 trade"
95,"Account 125611 traded ISIN GB0002634946 worth ¥20,313 on 2025-06-16"
96,"FX trade: ISIN CH0012032048, acc: 534572, amount €60,692, 09.06.2025"
97,"Trade confirmation: ISIN GB0002634946, 16/06/2025, acc 519066, ₹65,799"
98,"Traded: ISIN US0378331005, amount $ 99,430, Date 2025-06-16, Account 907451"
99,"Executed trade for ISIN GB0002634946 on 11-06-2025 from acct 643118, total amount: £92,214"
100,"Trade alert: ISIN INE002A01018, acct# 578634, ¥16,906, date: 15/06/2025"
